id,age,gender,education,marital_status,workclass,occupation,hours_per_week,capital_gain,capital_loss,native_country,annual_income,loan_status,experience_years,job_satisfaction,bmi,smoking_status,physical_activity,credit_score,disease_risk
1,63,Female,Masters,Married,Unemployed,Other-service,57,28219,7604,us,80471.0,denied,26,1,21.1,occasional,medium,759.0,0
2,20,Female,PhD,Married,Government,,98,26959,8738,,83789.0,approved,34,3,23.9,smoker,low,730.0,0
3,46,Female,Bachelors,Divorced,Unemployed,Tech-support,8,15621,7180,India,93380.0,approved,5,4,28.4,non-smoker,low,460.0,0
4,52,Other,Masters,Single,Government,Other-service,9,26022,8588,us,41035.0,denied,19,5,26.6,occasional,medium,464.0,0
5,56,Female,Masters,Single,Self-Employed,Prof-specialty,49,3075,2399,UK,69893.0,denied,19,1,24.5,smoker,high,,0
6,35,Female,PhD,Divorced,Private,Tech-support,80,12092,2280,Mexico,111543.0,denied,0,1,24.9,occasional,high,323.0,1
7,37,Male,PhD,Divorced,Government,Tech-support,65,28343,9356,USA,66828.0,denied,28,4,33.0,non-smoker,medium,485.0,0
8,60,Male,Bachelors,Widowed,Unemployed,Exec-managerial,41,43788,1951,Canada,38590.0,denied,2,2,32.8,occasional,high,615.0,0
9,40,Female,Masters,Married,Private,Other-service,35,8495,522,us,62033.0,approved,8,3,32.3,occasional,medium,456.0,0
10,51,Male,Bachelors,Single,Government,Machine-op-inspct,41,47716,3620,Germany,62193.0,approved,40,3,25.0,smoker,low,766.0,0
11,50,Male,Bachelors,Widowed,Unemployed,Sales,38,5366,2680,U.S.,88142.0,denied,15,1,23.3,occasional,medium,806.0,0
12,67,Male,Bachelors,Married,Private,Exec-managerial,9,36780,4618,U.S.,92116.0,denied,41,2,17.3,non-smoker,high,489.0,0
13,65,Female,PhD,Married,Self-Employed,Craft-repair,81,14477,5806,UK,129274.0,denied,4,4,25.0,occasional,low,806.0,0
14,27,Male,High School,Single,Unemployed,Tech-support,23,19346,6089,U.S.,58087.0,denied,6,5,23.3,occasional,high,390.0,0
15,50,Male,PhD,Single,,Sales,30,4136,3887,Germany,56426.0,approved,4,1,22.3,non-smoker,low,317.0,0
16,64,Female,Masters,Married,Government,Craft-repair,74,14435,4976,UK,65319.0,approved,43,1,22.0,occasional,high,494.0,1
17,50,Female,Bachelors,Married,Private,Tech-support,88,26349,1274,U.S.,47750.0,approved,13,5,23.3,occasional,high,658.0,1
18,65,Female,Bachelors,Divorced,Private,Craft-repair,22,27160,129,Canada,56848.0,denied,16,1,24.3,occasional,low,786.0,1
19,43,Female,High School,Married,Private,Machine-op-inspct,18,24768,6910,UK,78566.0,denied,44,5,34.5,smoker,low,353.0,0
20,37,Female,High School,Widowed,Government,Prof-specialty,76,2075,3610,Mexico,94070.0,approved,28,3,20.2,smoker,low,764.0,1
21,32,Male,Masters,Divorced,Private,,70,25161,8872,us,73676.0,denied,19,2,20.0,non-smoker,low,791.0,0
22,54,Male,Masters,Widowed,Unemployed,Machine-op-inspct,86,5303,7998,,80713.0,approved,32,2,29.1,smoker,medium,611.0,0
23,50,Male,Bachelors,Single,Self-Employed,Other-service,85,33609,2410,Germany,50233.0,approved,33,3,23.4,smoker,medium,659.0,0
24,34,Female,High School,Married,Self-Employed,Other-service,83,3203,2444,us,72778.0,denied,7,5,22.1,smoker,low,367.0,0
25,22,Male,Masters,Married,Unemployed,Sales,23,17480,9194,Canada,64439.0,approved,15,3,27.2,smoker,low,688.0,0
26,67,Male,High School,Divorced,Private,Tech-support,5,8900,5210,,69196.0,denied,14,3,33.5,occasional,low,,0
27,21,Male,PhD,Married,Government,,81,34135,7792,Germany,97867.0,denied,23,5,34.4,occasional,low,487.0,0
28,20,Female,Masters,Single,Self-Employed,Tech-support,26,24129,7858,Germany,40762.0,denied,44,5,23.9,non-smoker,low,643.0,1
29,38,Male,Masters,Widowed,Private,Sales,53,33576,2825,USA,101099.0,denied,28,1,28.7,smoker,high,376.0,1
30,57,Male,Masters,Widowed,Self-Employed,Prof-specialty,99,46177,9826,USA,72199.0,approved,31,1,28.4,non-smoker,high,651.0,0
31,20,Male,High School,Divorced,Self-Employed,Prof-specialty,16,24910,5791,U.S.,61449.0,denied,40,2,26.6,non-smoker,high,638.0,0
32,38,Male,PhD,Single,Unemployed,Tech-support,39,23409,6689,UK,62192.0,denied,5,5,,occasional,high,674.0,0
33,65,Male,Masters,Widowed,Unemployed,Other-service,9,35180,5546,UK,101301.0,approved,28,3,30.1,occasional,high,777.0,0
34,66,Male,Bachelors,Widowed,Self-Employed,Machine-op-inspct,83,49109,1953,Germany,71014.0,approved,13,5,20.4,occasional,medium,721.0,0
35,25,Male,Masters,Divorced,Self-Employed,Prof-specialty,76,37483,1823,U.S.,100017.0,approved,41,5,33.0,occasional,medium,774.0,0
36,59,Male,Masters,Widowed,Unemployed,Prof-specialty,24,39221,5855,India,54069.0,denied,19,4,21.6,smoker,low,522.0,1
37,53,Female,Bachelors,Widowed,Self-Employed,Machine-op-inspct,17,4671,5212,India,96781.0,denied,13,5,32.6,smoker,high,524.0,1
38,46,Female,PhD,Widowed,Government,Other-service,18,3370,2806,Germany,82027.0,denied,21,4,23.2,occasional,medium,840.0,0
39,56,Female,High School,Married,Unemployed,Exec-managerial,10,23502,6120,Germany,76034.0,denied,14,5,17.2,smoker,low,,0
40,51,Female,Masters,Married,Private,Craft-repair,25,4129,5241,us,56845.0,denied,3,2,22.4,non-smoker,high,661.0,0
41,39,Male,Masters,Single,Unemployed,Craft-repair,45,28738,1103,Canada,51712.0,approved,9,5,,non-smoker,high,797.0,0
42,48,Male,PhD,Divorced,Self-Employed,Craft-repair,87,13069,2390,Mexico,83459.0,denied,14,4,25.2,non-smoker,low,673.0,0
43,45,Male,Bachelors,Married,Unemployed,Sales,87,47016,1735,UK,66679.0,approved,40,1,23.1,occasional,high,401.0,0
44,52,Male,Masters,Widowed,Unemployed,Sales,54,35246,4922,Germany,80621.0,denied,21,5,26.1,occasional,low,726.0,1
45,51,Female,Masters,Divorced,Unemployed,Craft-repair,82,31462,3230,USA,71585.0,denied,5,1,20.6,smoker,medium,688.0,1
46,30,Male,High School,Single,Private,Other-service,11,26641,9192,U.S.,43468.0,denied,35,5,24.4,occasional,medium,381.0,1
47,58,Male,PhD,Divorced,Unemployed,Sales,9,40746,8133,USA,46911.0,approved,35,3,29.7,smoker,high,799.0,0
48,21,Female,High School,Married,Government,Tech-support,40,43605,9185,UK,47174.0,denied,12,2,32.3,non-smoker,low,700.0,0
49,60,Female,PhD,Widowed,Self-Employed,Craft-repair,70,44301,6681,USA,52789.0,approved,1,3,30.0,occasional,medium,325.0,1
50,23,Male,Bachelors,Widowed,Private,,53,49461,3996,Mexico,45091.0,approved,10,1,20.0,occasional,medium,833.0,1
51,18,Female,Bachelors,Single,Government,Exec-managerial,39,19321,8545,Germany,89778.0,approved,27,5,20.9,non-smoker,high,538.0,1
52,29,Female,Bachelors,Married,Government,Machine-op-inspct,54,25265,9523,Canada,65098.0,denied,13,2,26.9,smoker,high,627.0,0
53,52,Male,PhD,Divorced,,Machine-op-inspct,37,25117,9422,UK,76433.0,denied,18,3,29.3,non-smoker,medium,604.0,0
54,28,Male,Bachelors,Divorced,Self-Employed,Other-service,41,45540,926,Germany,52593.0,denied,40,1,23.6,occasional,high,549.0,0
55,40,Female,High School,Widowed,Self-Employed,Machine-op-inspct,95,958,7487,U.S.,44265.0,denied,4,1,26.8,non-smoker,low,771.0,0
56,31,Male,High School,Single,Private,Sales,76,46933,6135,U.S.,93387.0,approved,38,2,21.4,non-smoker,medium,537.0,1
57,36,Female,Bachelors,Widowed,Private,Tech-support,15,15484,8848,Germany,85263.0,approved,36,1,32.5,smoker,high,570.0,0
58,54,Male,PhD,Married,Unemployed,Sales,54,21951,3092,India,105374.0,denied,14,2,22.5,non-smoker,low,670.0,1
59,33,Female,Masters,Widowed,Government,Exec-managerial,69,12795,301,Mexico,59374.0,approved,28,4,19.6,non-smoker,medium,,0
60,61,Male,Bachelors,Married,Self-Employed,Sales,90,18936,1570,U.S.,53417.0,denied,41,4,33.1,occasional,high,383.0,0
61,45,Female,PhD,Widowed,Unemployed,Exec-managerial,18,19936,1517,Germany,,denied,23,3,19.8,smoker,medium,736.0,0
62,62,Female,PhD,Married,Government,Tech-support,46,23395,2830,U.S.,83485.0,approved,44,4,21.7,smoker,high,451.0,1
63,48,Female,Bachelors,Single,,Prof-specialty,78,28994,9548,UK,unknown,approved,33,4,24.6,occasional,medium,836.0,0
64,24,Female,Masters,Widowed,Private,Prof-specialty,34,24542,602,U.S.,98350.0,denied,35,5,16.6,smoker,medium,770.0,0
65,63,Male,High School,Widowed,Government,Tech-support,27,19977,9663,us,82456.0,approved,43,5,33.9,non-smoker,high,591.0,1
66,69,Male,Bachelors,Divorced,Self-Employed,Craft-repair,60,33783,9377,us,50789.0,approved,30,2,27.2,occasional,medium,604.0,1
67,44,Male,Masters,Single,Unemployed,Exec-managerial,9,500,4117,Canada,93776.0,denied,5,2,30.9,non-smoker,low,657.0,0
68,34,Female,Bachelors,Married,Unemployed,Machine-op-inspct,7,1851,5718,Mexico,59215.0,denied,10,3,21.7,occasional,high,570.0,0
69,24,Male,High School,Divorced,Government,Sales,40,44483,2246,U.S.,62893.0,denied,3,1,22.4,smoker,medium,316.0,0
70,32,Male,Bachelors,Single,Private,Tech-support,58,28213,6179,Mexico,103600.0,approved,19,2,,non-smoker,high,833.0,0
71,57,Female,Masters,Divorced,Private,Tech-support,55,15199,7675,USA,8866.0,denied,28,4,31.1,occasional,low,398.0,1
72,29,Female,PhD,Single,Self-Employed,Machine-op-inspct,76,36902,6582,us,71345.0,denied,40,2,26.7,occasional,medium,558.0,0
73,25,Female,Bachelors,Widowed,Private,Craft-repair,61,46792,5997,Germany,60249.0,denied,39,4,28.6,non-smoker,medium,442.0,0
74,19,Male,Masters,Single,Self-Employed,Machine-op-inspct,62,49738,7625,us,74305.0,approved,7,4,25.7,occasional,low,519.0,0
75,61,Male,Masters,Married,Self-Employed,Sales,7,46375,7391,UK,63842.0,denied,29,2,28.9,non-smoker,medium,425.0,1
76,55,Female,Bachelors,Divorced,,Exec-managerial,14,36895,1228,,59599.0,denied,4,2,32.0,occasional,medium,614.0,1
77,43,Male,Bachelors,Married,Self-Employed,Craft-repair,91,18043,8923,Mexico,66902.0,approved,8,1,30.3,non-smoker,high,705.0,1
78,68,Female,Bachelors,Divorced,Government,Sales,68,26587,4577,us,32134.0,approved,16,4,33.9,occasional,high,492.0,0
79,38,Male,PhD,Widowed,Government,Sales,63,18111,548,Canada,74841.0,denied,0,4,28.4,occasional,low,393.0,0
80,67,Male,High School,Single,Government,Machine-op-inspct,34,40488,3705,UK,72952.0,denied,20,1,21.3,occasional,high,770.0,0
81,30,Male,Masters,Married,Private,Other-service,99,45392,4131,USA,74441.0,approved,4,2,28.5,occasional,low,381.0,0
82,36,Male,PhD,Single,Private,Craft-repair,55,39728,8022,UK,32712.0,denied,17,4,22.4,occasional,high,689.0,0
83,35,Female,Bachelors,Married,Self-Employed,Craft-repair,58,47051,5557,Canada,55276.0,denied,5,2,28.3,smoker,medium,326.0,1
84,19,Female,PhD,Widowed,Unemployed,,44,16665,3916,Germany,83227.0,approved,30,4,21.6,non-smoker,low,307.0,1
85,69,Male,Masters,Married,Self-Employed,Other-service,95,46671,6750,Mexico,83756.0,approved,37,4,23.8,smoker,medium,739.0,0
86,62,Female,PhD,Widowed,Private,Exec-managerial,95,31035,5359,India,83063.0,approved,16,5,20.9,non-smoker,high,638.0,0
87,59,Male,Masters,Divorced,Self-Employed,Sales,24,43678,2253,USA,69922.0,denied,15,3,35.4,occasional,medium,603.0,0
88,66,Male,PhD,Divorced,Government,Machine-op-inspct,86,5133,724,U.S.,40379.0,approved,35,2,24.8,occasional,low,707.0,0
89,45,Male,PhD,Divorced,,Tech-support,95,27976,508,USA,,denied,1,4,28.4,smoker,medium,435.0,0
90,67,Male,Masters,Divorced,Private,Prof-specialty,78,25564,4713,Germany,unknown,approved,8,5,26.8,smoker,medium,,0
