age,gender,education,marital_status,workclass,occupation,hours_per_week,capital_gain,capital_loss,native_country,annual_income,loan_status,experience_years,job_satisfaction,bmi,smoking_status,physical_activity,credit_score,disease_risk
63.0,0,2,1,3,3,57.0,28219.0,7604.0,5,80471.0,0,26.0,1.0,21.1,1,2,759.0,0.0
20.0,0,3,1,0,5,98.0,26959.0,8738.0,5,83789.0,1,34.0,3.0,23.9,2,1,730.0,0.0
46.0,0,0,0,3,6,8.0,15621.0,7180.0,2,93380.0,1,5.0,4.0,28.4,0,1,460.0,0.0
52.0,2,2,2,0,3,9.0,26022.0,8588.0,5,41035.0,0,19.0,5.0,26.6,1,2,464.0,0.0
56.0,0,2,2,2,4,49.0,3075.0,2399.0,4,69893.0,0,19.0,1.0,24.5,2,0,589.0,0.0
35.0,0,3,0,1,6,80.0,12092.0,2280.0,3,111543.0,0,0.0,1.0,24.9,1,0,323.0,1.0
37.0,1,3,0,0,6,65.0,28343.0,9356.0,5,66828.0,0,28.0,4.0,33.0,0,2,485.0,0.0
60.0,1,0,3,3,1,41.0,43788.0,1951.0,0,38590.0,0,2.0,2.0,32.8,1,0,615.0,0.0
40.0,0,2,1,1,3,35.0,8495.0,522.0,5,62033.0,1,8.0,3.0,32.3,1,2,456.0,0.0
51.0,1,0,2,0,2,41.0,47716.0,3620.0,1,62193.0,1,40.0,3.0,25.0,2,1,766.0,0.0
50.0,1,0,3,3,5,38.0,5366.0,2680.0,5,88142.0,0,15.0,1.0,23.3,1,2,806.0,0.0
67.0,1,0,1,1,1,9.0,36780.0,4618.0,5,92116.0,0,41.0,2.0,17.3,0,0,489.0,0.0
65.0,0,3,1,2,0,81.0,14477.0,5806.0,4,129274.0,0,4.0,4.0,25.0,1,1,806.0,0.0
27.0,1,1,2,3,6,23.0,19346.0,6089.0,5,58087.0,0,6.0,5.0,23.3,1,0,390.0,0.0
50.0,1,3,2,3,5,30.0,4136.0,3887.0,1,56426.0,1,4.0,1.0,22.3,0,1,317.0,0.0
64.0,0,2,1,0,0,74.0,14435.0,4976.0,4,65319.0,1,43.0,1.0,22.0,1,0,494.0,1.0
50.0,0,0,1,1,6,88.0,26349.0,1274.0,5,47750.0,1,13.0,5.0,23.3,1,0,658.0,1.0
65.0,0,0,0,1,0,22.0,27160.0,129.0,0,56848.0,0,16.0,1.0,24.3,1,1,786.0,1.0
43.0,0,1,1,1,2,18.0,24768.0,6910.0,4,78566.0,0,44.0,5.0,34.5,2,1,353.0,0.0
37.0,0,1,3,0,4,76.0,2075.0,3610.0,3,94070.0,1,28.0,3.0,20.2,2,1,764.0,1.0
32.0,1,2,0,1,5,70.0,25161.0,8872.0,5,73676.0,0,19.0,2.0,20.0,0,1,791.0,0.0
54.0,1,2,3,3,2,86.0,5303.0,7998.0,5,80713.0,1,32.0,2.0,29.1,2,2,611.0,0.0
50.0,1,0,2,2,3,85.0,33609.0,2410.0,1,50233.0,1,33.0,3.0,23.4,2,2,659.0,0.0
34.0,0,1,1,2,3,83.0,3203.0,2444.0,5,72778.0,0,7.0,5.0,22.1,2,1,367.0,0.0
22.0,1,2,1,3,5,23.0,17480.0,9194.0,0,64439.0,1,15.0,3.0,27.2,2,1,688.0,0.0
67.0,1,1,0,1,6,5.0,8900.0,5210.0,5,69196.0,0,14.0,3.0,33.5,1,1,589.0,0.0
21.0,1,3,1,0,5,81.0,34135.0,7792.0,1,97867.0,0,23.0,5.0,34.4,1,1,487.0,0.0
20.0,0,2,2,2,6,26.0,24129.0,7858.0,1,40762.0,0,44.0,5.0,23.9,0,1,643.0,1.0
38.0,1,2,3,1,5,53.0,33576.0,2825.0,5,101099.0,0,28.0,1.0,28.7,2,0,376.0,1.0
57.0,1,2,3,2,4,99.0,46177.0,9826.0,5,72199.0,1,31.0,1.0,28.4,0,0,651.0,0.0
20.0,1,1,0,2,4,16.0,24910.0,5791.0,5,61449.0,0,40.0,2.0,26.6,0,0,638.0,0.0
38.0,1,3,2,3,6,39.0,23409.0,6689.0,4,62192.0,0,5.0,5.0,27.1,1,0,674.0,0.0
65.0,1,2,3,3,3,9.0,35180.0,5546.0,4,101301.0,1,28.0,3.0,30.1,1,0,777.0,0.0
66.0,1,0,3,2,2,83.0,49109.0,1953.0,1,71014.0,1,13.0,5.0,20.4,1,2,721.0,0.0
25.0,1,2,0,2,4,76.0,37483.0,1823.0,5,100017.0,1,41.0,5.0,33.0,1,2,774.0,0.0
59.0,1,2,3,3,4,24.0,39221.0,5855.0,2,54069.0,0,19.0,4.0,21.6,2,1,522.0,1.0
53.0,0,0,3,2,2,17.0,4671.0,5212.0,2,96781.0,0,13.0,5.0,32.6,2,0,524.0,1.0
46.0,0,3,3,0,3,18.0,3370.0,2806.0,1,82027.0,0,21.0,4.0,23.2,1,2,840.0,0.0
56.0,0,1,1,3,1,10.0,23502.0,6120.0,1,76034.0,0,14.0,5.0,17.2,2,1,589.0,0.0
51.0,0,2,1,1,0,25.0,4129.0,5241.0,5,56845.0,0,3.0,2.0,22.4,0,0,661.0,0.0
39.0,1,2,2,3,0,45.0,28738.0,1103.0,0,51712.0,1,9.0,5.0,27.1,0,0,797.0,0.0
48.0,1,3,0,2,0,87.0,13069.0,2390.0,3,83459.0,0,14.0,4.0,25.2,0,1,673.0,0.0
45.0,1,0,1,3,5,87.0,47016.0,1735.0,4,66679.0,1,40.0,1.0,23.1,1,0,401.0,0.0
52.0,1,2,3,3,5,54.0,35246.0,4922.0,1,80621.0,0,21.0,5.0,26.1,1,1,726.0,1.0
51.0,0,2,0,3,0,82.0,31462.0,3230.0,5,71585.0,0,5.0,1.0,20.6,2,2,688.0,1.0
30.0,1,1,2,1,3,11.0,26641.0,9192.0,5,43468.0,0,35.0,5.0,24.4,1,2,381.0,1.0
